Submission ID,Respondent ID,Submitted at,1. If you had moments of joy or satisfaction at PMCC please tell us why you felt that way.,1-1. If PMCC activities provided new insights or inspiration in your daily life what part of the conversation was it?,Rating,2-1. Which part of PMCC's philosophy do you resonate with most? Please freely share your thoughts!,2-2. How much would you recommend this philosophy (value) to your friends? Why do you want to invite your friends to PMCC?,2-3. Do you want to continue participating in PMCC activities in the future?,3. If there are areas PMCC should improve to provide a better community experience please let us know!,4. Below are projects PMCC is planning. Which sessions are you interested in? Which projects would you attend? (Multiple choice),4. Below are projects PMCC is planning. Which sessions are you interested in? Which projects would you attend? (Multiple choice) (2)
Vy07KM,7JGGD2,2024-08-26 14:55,"It was good that young people of similar age could share their precious values, not just exercise.","It was good to listen attentively to the thoughts of truly various young people, and I learned what communication is by having them focus and listen when I speak, which I had forgotten.","The value of running together. I feel that life is not about living alone, but that we can develop more when we move forward matching steps together.","There are so many values that make life healthy, not just the goal of becoming healthy through exercise, so I think I can confidently introduce it to precious people around me.",5,"For invited members, I give a small opinion that it would be good if hopeful regular members provide drinks, etc. with a small membership fee~",Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),,
25kkYb,Yop5rq,2024-08-27 1:00,"At first it's awkward, but during running when you're out of breath and say a few words, before you know it you're breathing and chattering excitedly. I think I enjoyed it because I felt a comfort I've never felt anywhere else.","The fact that other people also worry. I thought only I worried and only I was lacking, but as we opened up and shared our concerns with each other, I gained more courage and strength.",4,Deep connection! Conversation from deep in the heart rather than superficial small talk. One star is left for the possibility that PMCC's values will develop and improve.,Very recommend. But I only want to invite those who are ready to listen to others' stories.,5,Sunday sessions are so good. I think it would be good to communicate and talk a bit more even while we spend our busy weekdays... + 4. I'm looking forward to various programs.,"Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
Rl4Y7d,KPRAvz,2024-08-27 1:43,"Since it was my second participation, comparison with the first was possible, and it was fun that different shapes came out depending on the member composition.","Hearing about Coupang founder's words. Story about beginners, intermediates, and experts in entrepreneurship.",5,"The advantage of loose solidarity, so being able to speak more easily.","If there's an opportunity, I want to bring more interesting friends.",5,"Not right now, but I was concerned that as time passes, loose solidarity may actually become solid solidarity and may not look like what it is now.",Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
KyoyGM,y0W4X0,2024-08-27 4:20,"1. When feeling resonance with others, when I felt that they have the same concerns as me yet are living their own lives. 2. When running and feeling good fatigue. 3. When listening to various lives and stories from various occupations, it felt like indirectly experiencing a new world. 4. When I felt a sense of belonging.",.,5,Genuine connection.,Strong recommendation. Because I want to live like that.,5,.,"Ideation Session where specific topics are pre-selected and discussed in depth, Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
bGOO0g,0bpAL6,2024-08-27 9:45,"Body and mind become healthy through exercise, and when drinking coffee and talking, we talk with healthier thoughts, so I'm very satisfied with this part.","Originally I didn't like conversations with people that much and felt it consumed emotions, but I learned it's different when I talk with people who are similar to me. Rather, I gain good synergy.",I resonated a lot with genuine connection. I empathize a lot when talking with people. I think empathy is the best way to get close to people.,"I want to recommend it a lot. My personal thought is that there are many various people in the world. So it's hard to find people with similar vibes. Even if I want to invite them, I'd be so sad if they come and don't find it fun...",5,"It will proceed in the future, but I think it would be good to have a bit more SNS activity.","Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running), Ideation Session where specific topics are pre-selected and discussed in depth",,
GyjOL2,r0krJX,2024-09-02 8:51,"I was satisfied from the start with a healthy weekend morning, and gained motivation to live harder while communicating with people.","After hearing education-related content, I thought about what kind of appearance I should show to my 7-year-old niece who I live with! (interest)",5,Genuine connection. Because there's a limit to what I can think of alone!,I want my friends around to also receive the great positive energy gained from conversations with people.,5,Although I only participated once..! For 'continuously' more willingness to participate... It would be good to also have a conversational space where we share what changes have started to happen with the positive energy received and what 'actions' we came to do.,"Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running)",
j2V61a,YVd1B0,2024-09-03 12:29,"First, I was very satisfied with the opportunity to refresh my mind through running. I was proud of myself for running a distance I would have definitely stopped in the middle of if I had run alone. Above all, I hadn't had a chance to empty my mind for the past few months, but I'm satisfied that I ran with truly no thoughts around the halfway point of running. Second, I gained comfort through a sense of homogeneity in the place where we had conversations. There aren't many places where people can have somewhat deep conversations, and I was comforted by the fact that so many people who think similarly at a similar depth gathered like this.","Regarding 'why' we do something, I thought I definitely live with beliefs when I heard that beliefs are emphasized, but as time passes, I feel the need to specify what beliefs I have. I realize I'm in a vague state where I can't express it accurately even though it's an important element that makes up who I am, so I think more deeply about what my beliefs are.",I most resonate with achieving genuine connection. Perhaps the fact that we're creating one connection point by investing one morning to many people living apart in the world feels very valuable.,"Regarding this, I think it really varies by person. When I think of friends around me, there are also many people who pursue only superficial things and think only about their surroundings, so I want to recommend it to people who can truly understand this value.","I was very satisfied with my first participation. Personally, what I'm curious about is: if I continue participating, won't the conversation topics revolve around the attending people? If so, I'm curious about the operator's plan for how to expand those topics outward.","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Ideation Session where specific topics are pre-selected and discussed in depth",,,
groqND,N80z5j,2024-09-03 12:32,"1. The part about talking while running. I was worried it wouldn't allow concentration, but the stories shared while sweating had a subtle charm.","Though we're all running the same, everyone's thoughts are different, and the range of thinking seems to have broadened.",5,"Running together. Perhaps we can never understand each other, but the fact that we can run together seems meaningful.","By expressing one's story candidly, it seems we can look back at ourselves once more.",5,"It might be good to meet by setting a theme for the conversation once in a while :) ex) Favorite movie and reasons, etc.",Ideation Session where specific topics are pre-selected and discussed in depth,
Rl9kal,r2VOB5,2024-09-03 14:09,"I was satisfied because I could push to my limits and run because we ran together. I enjoyed the place where we shared concerns, thoughts, and experiences about life from various people.",I could gain insights about how to ask for favors.,4,"'Running together' - It seems the value of community and cooperation is disappearing in society. Just by gathering and running together with people from various backgrounds, we can feel the preciousness of the values of community and cooperation.",Strongly recommend. It seems it will be a place where we can exercise for health together and naturally talk about current concerns.,4,"When there are many people, it would be good to divide into appropriate numbers to conduct conversation sessions.","Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running), Ideation Session where specific topics are pre-selected and discussed in depth",
Nya2Np,O8YojM,2024-09-04 2:33,"Running while matching pace. Not going fast, but going together steadily.","Even my current self is just a process. Even if life's direction draws curves rather than a straight line, with the heart of a traveler sailing that path.",4,"Running together- Like running while being considerate, it becomes a time to organize thoughts to express my thoughts better and adjust the breathing of thoughts through conversation with others.",Because not only physical/mental healthy pleasure but also networking with people in other fields beyond my world and expansion of knowledge is possible.,4,Diversity of courses.,"Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.), Ideation Session where specific topics are pre-selected and discussed in depth",
RlODQv,gWZX8l,2024-09-04 5:29,"First, it was good to be able to feel again the feeling of running together breathing and running the same path together. And in the coffee session, I spoke near the beginning and talked about a concern that wasn't a concern, and I was surprised and moved by how people who spoke after seriously and deeply accepted and talked about my concern with their honest thoughts.","'Gang Byeong-chan' talked about how he is someone who achieved 'passion-career match,' but the difficulties that come from it were fresh and his story was very interesting. I always tried to do work I liked, but I thought that might not be the answer, and on the other hand, it was a moment of receiving comfort and feeling at ease in my heart as someone who always worried and struggled in that aspect.",5,"First, I deeply resonate with the part about 'running together.' I also fully resonate with the values that come after, but I'm confident I'll feel them even more strongly after some more time passes while continuing to participate in this community. The process of focusing on each other's breathing through 'running together,' pulling and being pulled by each other when tired and exhausted while conversing, is very good and I think it's one of the true meanings of running.",I naturally want others to also feel these values. I have no doubt that those who truly resonate with these values and run together will give great strength to this community. I hope many people who know the joy of running together increase.,"I'll improve on what needs improvement while participating more. First, when running together, there were cases where instead of running in two columns, people ran in groups of three, two, or four in a disorderly manner. When that happened, there were definitely people who were left out, people who ran alone, and there's concern it could harm other runners in terms of running manners. It's too good to match up with new people and run while talking after a brief rest in the middle of running, but I hope it happens within the rule of two columns.","Ideation Session where specific topics are pre-selected and discussed in depth, Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running)",,
vbkvqD,K8JNBA,2024-09-04 13:49,"We endlessly face crossroads in life, but I'm busy avoiding them. I want to turn away because I'm afraid to decide. PMCC didn't decide anything for me. It didn't rush me or push my back. But it turned on the switch that creates the harmony of reason and emotion that I usually turned off and lived with. If flowers are results and stems are processes, I experienced choosing good seeds and planting them together here.","That you don't have to make what you like into your work. It was a problem I was suffering from alone. I thought I was young and had a wide range of choices, yet worry preceded and I couldn't decide anything thinking 'is this okay like this.' I felt with my skin how great sharing experiences is. 'I don't have to worry, there are many people who have already had such experiences,' I'm in the process of making plans more concrete.",5,Sorry.,Going to Japan now haha.,4,"If the number of participants increases more than now, it might be good to divide into Saturday and Sunday groups to proceed. If we limit the number of people who can participate in one day, we can experience deeper communication time.","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.), Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
ao8YKb,r2r1GR,2024-09-04 22:13,"I feel the joy of being together after a long time. When life gets busy, we can't take care of surrounding things well. That's because they all approach as burdens. PMCC gives the comfort that comes from a gathering without burden. Nevertheless, we care for someone we meet for the first time under the name of companion.",Story of work we want to do and work we must do. The shining eyes of companions who recently discharged from military became inspiration.,3,I greatly resonate with the value of community.,"When you do physical and intellectual activities in succession, your mind feels clear. Especially for me, it was quite a big challenge, so there's also pride.",5,"In the case of mountain courses (where you have to walk), it might be good to exclude them from the route.",Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
g19rlO,Wl1Xpv,2024-09-08 10:34,When we talked and empathized with each other.,Gang Byeong-chan's mushroom story.,5,Running together.,Haven't recommended yet.,5,Set a time limit during running.,Ideation Session where specific topics are pre-selected and discussed in depth,
MqEq9A,p4vNOV,2024-09-08 10:52,It was good to do warm-up exercises.,.,4,.,.,4,"It was good to talk during running but the pace was too slow and it was rather tiring. Going to a cafe and talking is good, but it might be burdensome (many job seekers, students) to participate every time. In fall, it would be good to spread out a mat and just collect a small amount of money to buy drinks.","Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
QW7a27,dQvoxy,2024-09-08 10:53,"All moments like the moment I woke up in the morning, the moment I finished running to the end, etc. were enjoyable and I could feel satisfaction even in myself.","At a time when I'm facing employment with many concerns, after talking, I felt my perspective was too narrow, and I gained inspiration that I should do self-development for my life and myself, not self-development for employment.",5,"'Running together' The experience itself of running while matching breathing, being considerate of and cheering each other is precious and valuable.","Because it's a community that provides opportunities for various people to meet, I want to share the experience of meeting friends facing concerns about life and sharing various insights.",5,"Perhaps because there were many people? (it might have felt more so because tables were separated) I felt a bit regretful that I couldn't talk with everyone. I thought it would also be good to have a space where we can all sit together in a circle, or to proceed by dividing by region if the community grows bigger. Of course, today was also very good~~!!","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.)",
ZK2Bva,aZvMJE,2024-09-08 12:28,Meeting new people! I received fresh and positive stimulation.,"One participant's words about feeling satisfaction from sustainable happiness lingered until the evening of the day I returned, so I think I received a lot of inspiration.",5,Understanding. Listening.,Yes.,3,"Since we're running together, it would be better if you pay a bit more attention to pace and course! (it's good that you're considerate of first-time visitors)","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.)",
v1PR0X,lVvxEk,2024-09-08 13:08,I felt rewarded feeling the distance steadily increase while running and talking happily.,I could feel each person's concerns.,Friends interested in health were good.,Could know each other while running and drinking coffee.,5,None.,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),,
KN6x5D,71xKdz,2024-09-22 12:28,"Though it was my first time seeing them, everyone had such good personalities and the welcoming vibe was good. Especially when talking after running, we really listened to each other's stories and brought up deep stories, so we could talk like neighborhood friends met with masks from society momentarily removed, which was so good. Seeing good people, I could build up a bit of my collapsed humanity thinking 'the world is still warm (?)'.","The story about being able to overcome trauma by looking at the world excluding the ego was impressive. I always try to put down emotions, and it was a good insight.",5,"Unlike other running crews, it was good to see the effort to deeply understand each other and have conversations. It seemed I could see a value trying to grow mentally as well as physically.",I want to invite~ Five stars!,5,"I don't know yet. But if we exceed a certain number of people in the final conversation, won't it be a bit tiring for this generation with already short attention spans?","Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.)",
Gjzd2z,x4YYbv,2024-09-22 13:10,"It was my first time running with people, so the new experience itself was enjoyable.","I haven't done many activities yet so it's insufficient to answer, but as people from various fields share their experiences, I think I can get various inspirations.","By running together matching speed, I can think once more that I'm not alone but an existence living in a community.",It seems it can be new stimulation (experience) for friends like me who usually like doing things alone.,4,There doesn't seem to be anything special yet ^^,"Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running), Ideation Session where specific topics are pre-selected and discussed in depth",,
Gjzz5z,AAvL2N,2024-09-22 13:16,It was good to be able to run the Namsan trail while having small talk with people I met for the first time. I'm gaining many insights from people working in various fields.,"When sharing difficulties felt in life or occupation, I felt many things. There were different yet similar parts. Perhaps because we're similar age, there were many parts I could relate to.",The 'running together' part particularly resonates. It seems sweating and exercising together with people we didn't know before greatly helps break down walls and get to know each other while talking.,I totally want to recommend! I want them to feel that there really are peers who live hard.,5,I don't know well since it's my first attendance today~,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),,
JZ6XWo,lKrW5v,2024-09-22 15:00,"These days I'm totally unemployed so I usually wake up around lunch time, but thanks to P.M.C.C, after a long time I slept early and woke up early and could run in the refreshing Sunday morning air, which was enjoyable. I usually run alone often, and being able to run with many people was a new and satisfying experience.","Meeting new people, realizing I was in quite a narrow pool since there are more diverse occupations and hobbies than I usually encounter.",5,"At first, strangers were awkward, but I most resonated with P.M.C.C's 'deeply understanding each other' in that it becomes a much more natural connection after running together.","For people with extreme I MBTI like me, meeting new people is difficult, but P.M.C.C seems to allow natural blending, so I highly recommend it even for people with I MBTI.",4,It would be good to have guidance about the course and cafe. It would also be good to run at Han River.,"Cohort learning projects in various fields (4-week personal writing project, design process development, personal branding, exhibition studies, cafe tours and space studies, etc.)",
PWA6Nb,RvPO0P,2024-09-22 21:34,"All moments spent together were enjoyable. I like meeting new people and talking, and it was good that I could talk incessantly even while running.",When talking at the cafe...? Being able to hear thoughts of people in different fields rather than colleagues doing the same work...? I came to think again about diversity of thoughts.,5,Hmm... running together.,Because I want to teach friends who don't enjoy running how to have fun running.,5,I don't know well yet since it's the first time.,Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
ErP6Yl,Qv51Nl,2024-09-23 0:55,"Though I can't run well, I think I ran 5 times what I would have run 1 time thanks to the considerate encouragement from the side. And concern topics or thoughts of people in different fields were interesting (for me who has a narrow social circle with only friends in the same field).","I don't really think deep thoughts (whether good or bad) well, and I'm someone who doesn't do it well, but I came to think that deep conversations or thoughts themselves can make people more vibrant! I came to think about thinking a bit more while living.",5,"The part where through running we break down physical and mental walls and understand the inner self resonates well. Exercise of certain intensity that's somewhat breathless and intense like running seems to naturally make us put down our usual mask-like appearance. By doing so, we start talking with the other person as my real self and it seems good that we start to know each other beginning with each other's real selves.","For me who approaches different people with different personas depending on the person I meet, this place makes me have no persona and my heart becomes more comfortable. I want to invite friends worn out by harsh society.",5,"Uploading vibrant posts like reels. For prospective participants before participation, as a teaser to whet their appetite. For participants, increased re-participation rate through memory recall. (just my simple thought)",Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running),
PWJMZV,eKzoZo,2024-09-30 8:17,It was fun to be able to talk about various fields with new people.,New opinions coming from various ages were refreshing.,4,Just running together made me happy.,I want my friends to also feel the feeling of new people who were in their own environments meeting and having new conversations.,4,I think I need to know by continuing to participate more since it's the first time.,"Creative sharing (expressing and sharing your own running and daily experiences through writing, drawing, photography, music, etc.)",
oaPb1b,NMO6RW,2024-09-30 14:07,"It was good to be able to talk with new people, and the running course was so beautiful!",Conversation itself with people with various backgrounds felt like it broadened my perspective.,3,"There's also comfort that comes from loose relationships, so I want to watch and see over time.",Because it's better to share healthy conversations together!,4,I don't know yet.,"Nature exploration running sessions (nature-friendly activities such as Namsan's hidden rough mountain trails and Bukaksan trail running), Ideation Session where specific topics are pre-selected and discussed in depth",
jqKl71,MvPg6l,2024-10-01 1:41,Treating each other without prejudice and being able to convey one's own story.,"'What we like and what others like, our choice while conflicting between them?: We must remember we can't only do what we want. Even if we didn't want it at
",,,,,,,
